sample_index,timestamp_seconds,raw_voltage,filtered_voltage,lead_off
0,2.230,1.4060,0.1378,0
1,2.719,1.9240,0.3141,0
2,2.826,1.7120,0.4606,0
3,2.863,1.4660,0.5580,0
4,2.898,1.4800,0.6341,0
5,3.369,0.3300,0.5971,0
6,3.487,2.0040,0.7272,0
7,3.963,1.4360,0.7702,0
8,3.989,1.8240,0.8675,0
9,4.068,1.4760,0.9130,0
10,4.110,1.4980,0.9381,0
11,4.137,1.9240,1.0099,0
12,4.207,1.9200,1.0804,0
13,4.234,0.7880,1.0191,0
14,4.262,0.8540,0.9634,0
15,4.291,1.8100,1.0084,0
16,4.319,2.0380,1.0760,0
17,4.347,1.6500,1.0987,0
18,4.374,1.8880,1.1321,0
19,4.401,1.8940,1.1585,0
20,4.429,1.6100,1.1618,0
21,4.456,2.0220,1.1972,0
22,4.484,1.8620,1.2030,0
23,4.511,1.4820,1.1812,0
24,4.539,1.8160,1.1888,0
25,4.568,1.8480,1.1843,0
26,4.596,1.4520,1.1526,0
27,4.624,1.7740,1.1560,0
28,4.651,1.7800,1.1410,0
29,4.679,1.4020,1.0993,0
30,4.706,1.7940,1.1058,0
31,4.733,1.6340,1.0774,0
32,4.761,1.4980,1.0432,0
33,4.788,1.8840,1.0579,0
34,4.816,1.6240,1.0320,0
35,4.844,1.4540,0.9917,0
36,4.872,1.8740,1.0018,0
37,4.900,1.7100,0.9873,0
38,4.924,1.7880,0.9810,0
39,4.951,1.5380,0.9520,0
40,4.978,1.3000,0.8986,0
41,5.006,1.8380,0.8982,0
42,5.033,1.7260,0.8892,0
43,5.060,1.5140,0.8649,0
44,5.088,1.8940,0.8699,0
45,5.117,0.4920,0.7341,0
46,5.145,1.3880,0.7088,0
47,5.172,1.9840,0.7291,0
48,5.200,1.8740,0.7461,0
49,5.230,1.6140,0.7459,0
50,5.258,1.7960,0.7430,0
51,5.286,1.9440,0.7522,0
52,5.314,1.5580,0.7410,0
53,5.341,1.7120,0.7345,0
54,5.369,1.8280,0.7233,0
55,5.400,1.6640,0.7160,0
56,5.428,1.4760,0.6924,0
57,5.456,1.8940,0.6892,0
58,5.483,1.7040,0.6764,0
59,5.511,1.4120,0.6525,0
60,5.539,1.8560,0.6517,0
61,5.566,1.7180,0.6319,0
62,5.594,1.5060,0.6185,0
63,5.621,1.9060,0.6312,0
64,5.648,1.6140,0.5961,0
65,5.677,1.5100,0.5785,0
66,5.705,1.8380,0.5911,0
67,5.733,1.7400,0.5708,0
68,5.761,1.3820,0.5342,0
69,5.788,1.6640,0.5348,0
70,5.814,1.4800,0.4941,0
71,5.842,1.5880,0.4772,0
72,5.870,1.9600,0.5108,0
