sample_index,timestamp_seconds,raw_voltage,filtered_voltage,lead_off
0,3.344,1.6440,0.3222,0
1,3.834,1.6460,0.5839,0
2,4.026,1.6440,0.8119,0
3,4.095,1.6440,0.9635,0
4,4.131,1.6460,1.0698,0
5,4.614,1.6420,1.1750,0
6,4.789,1.6460,1.2459,0
7,5.151,1.6480,1.2771,0
8,5.180,1.6440,1.3142,0
9,5.258,1.6480,1.3459,0
10,5.313,1.6440,1.3436,0
11,5.339,1.6480,1.3432,0
12,5.408,1.6480,1.3529,0
13,5.437,1.6500,1.3411,0
14,5.463,1.6440,1.3199,0
15,5.498,1.6440,1.3142,0
16,5.526,1.6460,1.3001,0
17,5.552,1.6500,1.2728,0
18,5.580,1.6440,1.2564,0
19,5.607,1.6480,1.2434,0
20,5.633,1.6480,1.2156,0
21,5.660,1.6460,1.1924,0
22,5.688,1.6500,1.1793,0
23,5.715,1.6440,1.1543,0
24,5.743,1.6480,1.1279,0
25,5.773,1.6500,1.1127,0
26,5.801,1.6480,1.0931,0
27,5.827,1.6420,1.0652,0
28,5.855,1.6500,1.0472,0
29,5.882,1.6440,1.0302,0
30,5.910,1.6460,1.0058,0
31,5.937,1.6500,0.9854,0
32,5.965,1.6460,0.9702,0
33,5.991,1.6460,0.9494,0
34,6.019,1.6500,0.9280,0
35,6.049,1.6460,0.9125,0
36,6.078,1.6420,0.8945,0
37,6.109,1.6440,0.8727,0
38,6.137,1.6500,0.8572,0
39,6.165,1.6460,0.8426,0
40,6.191,1.6460,0.8233,0
41,6.219,1.6500,0.8066,0
42,6.247,1.6440,0.7926,0
43,6.275,1.6500,0.7769,0
44,6.302,1.6480,0.7594,0
45,6.331,1.6440,0.7455,0
46,6.359,1.6460,0.7312,0
47,6.386,1.6480,0.7147,0
48,6.413,1.6460,0.7008,0
49,6.440,1.6480,0.6887,0
50,6.467,1.6460,0.6732,0
51,6.493,1.6480,0.6594,0
52,6.520,1.6500,0.6486,0
53,6.547,1.6420,0.6341,0
54,6.575,1.6440,0.6196,0
55,6.605,1.6500,0.6090,0
56,6.633,1.6460,0.5972,0
57,6.659,1.6460,0.5840,0
58,6.686,1.6500,0.5732,0
59,6.714,1.6440,0.5621,0
60,6.741,1.6460,0.5500,0
61,6.769,1.6480,0.5388,0
62,6.797,1.6420,0.5280,0
63,6.823,1.6480,0.5178,0
64,6.851,1.6480,0.5069,0
65,6.881,1.6440,0.4969,0
66,6.909,1.6460,0.4874,0
67,6.936,1.6500,0.4776,0
68,6.964,1.6440,0.4676,0
69,6.991,1.6460,0.4589,0
70,7.018,1.6480,0.4495,0
71,7.045,1.6440,0.4397,0
72,7.072,1.6480,0.4320,0
73,7.099,1.6460,0.4231,0
74,7.125,1.6460,0.4140,0
75,7.156,1.6500,0.4070,0
76,7.184,1.6480,0.3992,0
77,7.212,1.6440,0.3901,0
78,7.240,1.6480,0.3827,0
79,7.266,1.6480,0.3756,0
80,7.293,1.6440,0.3672,0
81,7.321,1.6480,0.3600,0
82,7.348,1.6460,0.3529,0
83,7.375,1.6480,0.3462,0
84,7.403,1.6500,0.3396,0
85,7.432,1.6460,0.3327,0
86,7.460,1.6440,0.3256,0
87,7.486,1.6500,0.3194,0
88,7.514,1.6440,0.3124,0
89,7.541,1.6460,0.3064,0
90,7.569,1.6480,0.3003,0
91,7.597,1.6420,0.2932,0
92,7.623,1.6480,0.2881,0
93,7.650,1.6480,0.2825,0
94,7.678,1.6420,0.2758,0
95,7.708,1.6480,0.2709,0
96,7.736,1.6500,0.2662,0
97,7.764,1.6440,0.2602,0
98,7.790,1.6480,0.2555,0
99,7.817,1.6480,0.2506,0
100,7.845,1.6440,0.2449,0
101,7.872,1.6480,0.2405,0
102,7.898,1.6460,0.2355,0
103,7.925,1.6480,0.2310,0
104,7.952,1.6500,0.2271,0
105,7.982,1.6460,0.2223,0
106,8.010,1.6440,0.2172,0
107,8.037,1.6480,0.2131,0
108,8.065,1.6440,0.2083,0
109,8.091,1.6480,0.2045,0
110,8.118,1.6500,0.2010,0
111,8.146,1.6420,0.1960,0
112,8.174,1.6480,0.1925,0
113,8.201,1.6500,0.1891,0
114,8.231,1.6460,0.1852,0
115,8.263,1.6440,0.1811,0
116,8.291,1.6440,0.1768,0
117,8.318,1.6500,0.1739,0
118,8.345,1.6440,0.1701,0
119,8.373,1.6480,0.1671,0
120,8.400,1.6480,0.1638,0
121,8.427,1.6460,0.1605,0
122,8.454,1.6500,0.1581,0
123,8.482,1.6460,0.1544,0
124,8.509,1.6460,0.1512,0
125,8.540,1.6480,0.1486,0
126,8.568,1.6480,0.1456,0
127,8.599,1.6460,0.1424,0
128,8.626,1.6480,0.1399,0
129,8.654,1.6460,0.1368,0
130,8.681,1.6480,0.1342,0
131,8.709,1.6440,0.1310,0
132,8.736,1.6440,0.1279,0
133,8.763,1.6440,0.1247,0
134,8.790,1.6460,0.1224,0
135,8.819,1.6460,0.1201,0
136,8.847,1.6460,0.1176,0
137,8.875,1.6460,0.1153,0
138,8.903,1.6480,0.1135,0
139,8.930,1.6440,0.1108,0
140,8.956,1.6480,0.1089,0
141,8.984,1.6480,0.1071,0
142,9.011,1.6460,0.1049,0
143,9.039,1.6500,0.1035,0
144,9.066,1.6480,0.1015,0
145,9.095,1.6480,0.0998,0
146,9.123,1.6480,0.0979,0
147,9.150,1.6480,0.0959,0
148,9.177,1.6440,0.0933,0
149,9.205,1.6480,0.0917,0
150,9.235,1.6480,0.0899,0
151,9.262,1.6460,0.0879,0
152,9.290,1.6480,0.0864,0
153,9.317,1.6480,0.0847,0
154,9.345,1.6440,0.0824,0
155,9.375,1.6460,0.0807,0
156,9.403,1.6500,0.0796,0
157,9.431,1.6460,0.0777,0
158,9.457,1.6500,0.0770,0
159,9.485,1.6500,0.0758,0
160,9.513,1.6440,0.0734,0
161,9.540,1.6480,0.0723,0
162,9.568,1.6480,0.0708,0
163,9.595,1.6440,0.0686,0
164,9.622,1.6460,0.0673,0
165,9.652,1.6520,0.0668,0
166,9.679,1.6440,0.0647,0
167,9.708,1.6460,0.0634,0
168,9.736,1.6500,0.0627,0
169,9.763,1.6440,0.0606,0
170,9.789,1.6500,0.0603,0
171,9.817,1.6480,0.0591,0
172,9.845,1.6440,0.0572,0
173,9.873,1.6460,0.0560,0
174,9.900,1.6480,0.0551,0
175,9.929,1.6440,0.0533,0
176,9.957,1.6480,0.0527,0
177,9.984,1.6480,0.0518,0
178,10.012,1.6460,0.0506,0
179,10.040,1.6480,0.0499,0
180,10.068,1.6500,0.0495,0
181,10.095,1.6440,0.0478,0
182,10.122,1.6480,0.0471,0
183,10.149,1.6460,0.0458,0
184,10.177,1.6440,0.0444,0
185,10.207,1.6460,0.0435,0
186,10.236,1.6500,0.0432,0
187,10.264,1.6440,0.0418,0
188,10.291,1.6460,0.0410,0
189,10.319,1.6480,0.0404,0
190,10.347,1.6440,0.0390,0
191,10.375,1.6500,0.0392,0
192,10.402,1.6440,0.0377,0
193,10.429,1.6460,0.0369,0
194,10.456,1.6480,0.0365,0
195,10.486,1.6480,0.0361,0
196,10.514,1.6460,0.0352,0
197,10.542,1.6480,0.0348,0
198,10.570,1.6480,0.0342,0
199,10.597,1.6460,0.0333,0
200,10.626,1.6440,0.0321,0
201,10.652,1.6480,0.0317,0
202,10.680,1.6440,0.0305,0
203,10.708,1.6460,0.0300,0
204,10.735,1.6500,0.0301,0
205,10.766,1.6460,0.0293,0
206,10.795,1.6420,0.0279,0
207,10.821,1.6480,0.0277,0
208,10.849,1.6460,0.0269,0
209,10.877,1.6480,0.0270,0
210,10.905,1.6500,0.0271,0
211,10.933,1.6460,0.0262,0
212,10.960,1.6480,0.0260,0
213,10.987,1.6480,0.0257,0
214,11.015,1.6480,0.0252,0
215,11.045,1.6440,0.0241,0
216,11.074,1.6480,0.0239,0
217,11.102,1.6500,0.0238,0
218,11.129,1.6440,0.0227,0
219,11.156,1.6480,0.0226,0
220,11.184,1.6500,0.0225,0
221,11.211,1.6420,0.0210,0
222,11.240,1.6460,0.0206,0
223,11.268,1.6480,0.0203,0
224,11.298,1.6460,0.0197,0
225,11.328,1.6440,0.0191,0
226,11.357,1.6500,0.0193,0
227,11.384,1.6480,0.0190,0
228,11.411,1.6440,0.0183,0
229,11.439,1.6480,0.0182,0
230,11.467,1.6480,0.0177,0
231,11.494,1.6460,0.0175,0
232,11.521,1.6480,0.0175,0
233,11.549,1.6480,0.0170,0
234,11.577,1.6460,0.0165,0
235,11.607,1.6500,0.0170,0
236,11.635,1.6480,0.0165,0
237,11.662,1.6440,0.0154,0
238,11.689,1.6480,0.0156,0
239,11.717,1.6480,0.0152,0
240,11.745,1.6420,0.0138,0
241,11.773,1.6500,0.0144,0
242,11.801,1.6480,0.0142,0
243,11.828,1.6420,0.0129,0
244,11.854,1.6480,0.0131,0
245,11.885,1.6480,0.0130,0
246,11.913,1.6420,0.0118,0
247,11.941,1.6480,0.0121,0
248,11.969,1.6500,0.0124,0
249,11.997,1.6440,0.0117,0
250,12.025,1.6460,0.0115,0
251,12.052,1.6460,0.0110,0
