sample_index,timestamp_seconds,raw_voltage,filtered_voltage,lead_off
0,2.051,2.0560,0.1628,0
1,2.543,1.3880,0.2631,0
2,2.694,0.0000,0.2556,0
3,2.746,1.7540,0.3678,0
4,3.259,1.5540,0.4488,0
5,3.414,1.5600,0.5565,0
6,3.810,1.4420,0.6280,0
7,3.835,1.8480,0.7038,0
8,3.924,1.5980,0.7801,0
9,3.960,1.4420,0.8418,0
10,3.991,1.6300,0.8820,0
11,4.058,1.4420,0.9153,0
12,4.084,1.7680,0.9917,0
13,4.111,1.4520,1.0114,0
14,4.138,1.7900,1.0523,0
15,4.172,1.7520,1.1076,0
16,4.201,1.3800,1.1200,0
17,4.232,0.4640,1.0413,0
18,4.259,1.4900,1.0615,0
19,4.286,2.0560,1.1275,0
20,4.314,1.7620,1.1603,0
21,4.341,1.7600,1.1913,0
22,4.369,2.1120,1.2458,0
23,4.396,1.7860,1.2678,0
24,4.424,1.9720,1.3046,0
25,4.449,1.9880,1.3351,0
26,4.477,1.5260,1.3259,0
27,4.505,1.7700,1.3373,0
28,4.533,1.6960,1.3363,0
29,4.561,1.3660,1.3112,0
30,4.589,1.7100,1.3153,0
31,4.615,1.6040,1.3048,0
32,4.643,1.4240,1.2844,0
33,4.670,1.8440,1.2985,0
34,4.698,1.6020,1.2865,0
35,4.727,1.3620,1.2605,0
36,4.756,1.7340,1.2641,0
37,4.782,1.3740,1.2331,0
38,4.810,1.3220,1.2056,0
39,4.837,1.8660,1.2206,0
40,4.864,1.5840,1.2079,0
41,4.891,1.5440,1.1993,0
42,4.917,1.7960,1.2068,0
43,4.945,0.6480,1.1178,0
44,4.972,0.5160,1.0302,0
45,5.003,1.9220,1.0525,0
46,5.031,1.8380,1.0683,0
47,5.058,1.7760,1.0934,0
48,5.084,2.0520,1.1241,0
49,5.112,1.7200,1.1180,0
50,5.139,2.0360,1.1538,0
51,5.167,2.2080,1.1934,0
52,5.194,1.7600,1.1836,0
53,5.222,1.8660,1.1931,0
54,5.249,1.7000,1.1864,0
55,5.279,1.4560,1.1514,0
56,5.307,1.5260,1.1284,0
57,5.341,1.5500,1.1121,0
58,5.364,1.5680,1.0923,0
59,5.392,1.5120,1.0692,0
60,5.419,1.8700,1.0804,0
61,5.447,1.5040,1.0583,0
62,5.473,1.6760,1.0499,0
63,5.499,1.7340,1.0464,0
64,5.527,1.2360,1.0051,0
65,5.556,1.5740,0.9911,0
66,5.584,1.8640,0.9969,0
67,5.612,1.4760,0.9783,0
68,5.639,1.6540,0.9747,0
69,5.666,1.7800,0.9711,0
70,5.693,0.8680,0.9021,0
71,5.721,0.3520,0.8007,0
72,5.748,1.5940,0.7894,0
73,5.782,1.9040,0.8092,0
74,5.806,1.8860,0.8468,0
75,5.839,1.9580,0.8703,0
76,5.868,2.2080,0.9005,0
77,5.895,1.8500,0.9204,0
78,5.923,2.1060,0.9558,0
79,5.952,2.1480,0.9704,0
80,5.980,1.5500,0.9516,0
81,6.007,1.5600,0.9422,0
82,6.033,1.6900,0.9196,0
83,6.061,1.3720,0.8803,0
84,6.088,1.6900,0.8863,0
85,6.118,1.7980,0.8812,0
86,6.146,1.4580,0.8469,0
87,6.173,1.6440,0.8475,0
88,6.199,1.7320,0.8436,0
89,6.230,1.4900,0.8121,0
90,6.255,1.6740,0.8119,0
91,6.291,1.4600,0.7914,0
