sample_index,timestamp_seconds,raw_voltage,filtered_voltage,lead_off
0,2.547,2.0540,0.4067,0
1,3.000,1.8100,0.6922,0
2,3.116,1.8220,0.9502,0
3,3.156,1.4400,1.0428,0
4,3.189,1.3980,1.0960,0
5,3.236,0.1940,0.9263,0
6,3.697,1.8920,1.1101,0
7,3.845,1.6980,1.1857,0
8,4.250,1.8560,1.3379,0
9,4.277,1.8500,1.4411,0
10,4.350,1.6740,1.4387,0
11,4.399,1.7280,1.4829,0
12,4.426,1.8140,1.5482,0
13,4.495,1.9540,1.5821,0
14,4.522,1.3620,1.5013,0
15,4.552,1.4480,1.4813,0
16,4.581,1.7900,1.4902,0
17,4.608,1.7300,1.4826,0
18,4.636,1.4140,1.4533,0
19,4.664,1.7780,1.4711,0
20,4.692,1.7240,1.4462,0
21,4.719,1.4780,1.4218,0
22,4.743,1.7560,1.4475,0
23,4.771,1.4440,1.3620,0
24,4.798,0.5920,1.1569,0
25,4.828,1.8020,1.2378,0
26,4.857,1.7740,1.2504,0
27,4.885,1.7480,1.2960,0
28,4.911,2.2860,1.4491,0
29,4.940,1.7180,1.4112,0
30,4.968,1.8980,1.4348,0
31,4.995,2.4360,1.5746,0
32,5.024,1.9620,1.5660,0
33,5.054,1.5340,1.4762,0
34,5.081,1.9000,1.4801,0
35,5.111,2.0100,1.4884,0
36,5.139,1.3840,1.3787,0
37,5.167,1.6060,1.3374,0
38,5.194,1.8600,1.3293,0
39,5.222,1.4280,1.2502,0
40,5.250,1.7040,1.2536,0
41,5.277,1.9620,1.2761,0
42,5.305,1.3820,1.1877,0
43,5.333,1.7620,1.2114,0
44,5.359,1.7660,1.1973,0
45,5.389,1.4640,1.1309,0
46,5.417,1.7000,1.1451,0
47,5.445,1.8100,1.1521,0
48,5.473,1.5220,1.0973,0
49,5.500,1.7940,1.1279,0
50,5.526,1.8080,1.1366,0
51,5.554,1.5260,1.0799,0
52,5.582,1.0580,0.9565,0
53,5.609,1.1500,0.8621,0
54,5.637,1.3480,0.8092,0
55,5.665,1.9880,0.9163,0
56,5.694,2.0280,1.0150,0
57,5.720,1.5960,0.9921,0
58,5.748,2.0000,1.0510,0
59,5.775,2.0540,1.1131,0
60,5.803,1.7520,1.1052,0
61,5.831,2.1300,1.1617,0
62,5.858,1.6440,1.1057,0
63,5.886,1.4040,1.0262,0
64,5.913,1.8740,1.0368,0
65,5.943,1.8780,1.0393,0
66,5.970,1.3600,0.9641,0
67,5.997,1.9220,0.9989,0
68,6.027,1.7540,0.9686,0
69,6.057,1.4400,0.9171,0
70,6.086,1.3420,0.8488,0
71,6.114,1.9160,0.8707,0
72,6.142,1.6360,0.8592,0
73,6.168,1.4160,0.8301,0
74,6.195,1.9020,0.8543,0
75,6.226,1.5380,0.8035,0
76,6.253,1.2840,0.7589,0
77,6.281,1.7820,0.7808,0
78,6.309,1.6320,0.7455,0
79,6.336,1.3800,0.7234,0
80,6.364,0.9780,0.6061,0
81,6.391,0.8620,0.4410,0
82,6.418,1.3700,0.4467,0
83,6.446,1.9700,0.5917,0
84,6.473,1.6120,0.6016,0
85,6.508,1.7840,0.6505,0
86,6.535,1.6800,0.6863,0
87,6.562,2.2760,0.8155,0
88,6.590,1.7460,0.8050,0
89,6.617,1.7120,0.8146,0
90,6.644,1.8540,0.8284,0
91,6.671,1.3640,0.7291,0
92,6.698,1.8000,0.7602,0
93,6.724,1.5840,0.7295,0
94,6.752,1.4680,0.6720,0
95,6.781,1.8360,0.7081,0
96,6.808,1.4980,0.6704,0
97,6.834,1.5180,0.6378,0
98,6.861,1.7480,0.6512,0
99,6.888,1.3900,0.5992,0
100,6.915,1.7440,0.6281,0
101,6.942,1.6780,0.6225,0
102,6.969,1.4460,0.5846,0
103,6.997,1.9280,0.6509,0
104,7.027,1.7680,0.6553,0
105,7.064,1.8500,0.6891,0
106,7.091,1.5760,0.6622,0
107,7.118,1.5160,0.6126,0
108,7.146,1.3900,0.5486,0
109,7.174,0.3820,0.3081,0
110,7.200,1.3820,0.2987,0
111,7.226,1.9280,0.3852,0
112,7.253,1.5660,0.4265,0
113,7.281,1.9820,0.5348,0
114,7.308,1.8500,0.5515,0
115,7.340,1.7860,0.5882,0
116,7.367,1.9320,0.6579,0
117,7.393,2.1140,0.7063,0
118,7.421,1.4260,0.6237,0
119,7.448,1.6880,0.6358,0
120,7.475,1.6320,0.5906,0
121,7.502,1.4900,0.5308,0
122,7.530,1.8380,0.5845,0
123,7.556,1.4420,0.5226,0
124,7.584,1.5980,0.4923,0
125,7.613,1.9340,0.5561,0
126,7.641,1.5860,0.5387,0
127,7.668,1.6320,0.5159,0
128,7.694,1.9280,0.5572,0
129,7.721,1.3740,0.4961,0
130,7.748,1.7980,0.5214,0
131,7.775,1.7520,0.5133,0
132,7.803,1.3200,0.4471,0
133,7.830,1.9260,0.5108,0
134,7.856,1.4920,0.4472,0
135,7.886,1.3960,0.4046,0
136,7.913,1.9120,0.4715,0
137,7.941,1.3460,0.3882,0
138,7.968,0.1180,0.0991,0
139,7.996,1.5820,0.1501,0
140,8.026,1.8480,0.2151,0
141,8.054,1.5660,0.2653,0
142,8.082,1.9200,0.3708,0
143,8.110,2.0520,0.4291,0
144,8.137,1.6600,0.4375,0
145,8.168,1.8400,0.5010,0
146,8.195,2.0880,0.5431,0
147,8.223,1.5220,0.4815,0
148,8.250,1.6100,0.4906,0
149,8.278,1.9580,0.5146,0
150,8.306,1.4580,0.4301,0
151,8.333,1.6940,0.4608,0
152,8.362,1.7900,0.4678,0
153,8.388,1.4340,0.3811,0
154,8.415,1.8080,0.4296,0
155,8.445,2.0060,0.4948,0
156,8.473,1.4980,0.4204,0
157,8.500,1.6900,0.4242,0
158,8.526,1.7300,0.4327,0
159,8.554,1.3960,0.3543,0
160,8.582,1.7640,0.3752,0
161,8.609,1.8480,0.4134,0
162,8.637,1.3100,0.3308,0
163,8.664,1.9680,0.3913,0
164,8.691,1.5800,0.3624,0
165,8.721,1.4100,0.3183,0
166,8.749,1.8240,0.3478,0
167,8.777,0.5060,0.1068,0
168,8.805,1.0180,0.0339,0
169,8.862,2.0600,0.1526,0
170,8.905,1.5980,0.1734,0
171,8.933,1.9000,0.2826,0
172,8.960,2.1100,0.3668,0
173,8.989,1.8100,0.3758,0
174,9.017,2.0220,0.4641,0
175,9.054,1.4420,0.3880,0
176,9.082,1.8040,0.3810,0
177,9.111,1.7820,0.3989,0
178,9.138,1.4460,0.3518,0
179,9.167,1.6780,0.3279,0
180,9.195,2.0720,0.3945,0
181,9.223,1.5020,0.3645,0
182,9.250,1.6380,0.3455,0
183,9.278,2.0540,0.3867,0
184,9.307,1.5680,0.3617,0
185,9.338,1.4260,0.3179,0
186,9.365,1.8940,0.3267,0
187,9.392,1.7700,0.3327,0
188,9.420,1.4240,0.3062,0
189,9.448,1.8420,0.3186,0
190,9.476,1.6960,0.2892,0
191,9.504,1.4020,0.2640,0
192,9.532,1.8500,0.3029,0
193,9.561,1.8700,0.3001,0
194,9.588,1.3500,0.2511,0
195,9.617,0.1320,-0.0320,0
196,9.646,1.8280,0.0124,0
197,9.675,1.9300,0.0965,0
198,9.704,1.6400,0.1827,0
199,9.732,2.0180,0.2543,0
200,9.761,2.1500,0.3054,0
201,9.788,1.6680,0.3405,0
202,9.817,2.0720,0.4221,0
203,9.846,2.3460,0.4666,0
204,9.874,1.7780,0.4640,0
205,9.905,1.4900,0.4279,0
206,9.934,1.6520,0.3355,0
207,9.963,1.8760,0.3357,0
208,9.991,1.5860,0.3506,0
209,10.020,1.4600,0.2697,0
210,10.051,1.6160,0.2033,0
211,10.080,1.9220,0.2890,0
212,10.109,1.6920,0.2994,0
213,10.137,1.3800,0.1858,0
214,10.166,1.7940,0.2164,0
215,10.197,1.9340,0.2951,0
216,10.225,1.6520,0.2588,0
217,10.254,1.4200,0.1847,0
218,10.283,1.5800,0.1880,0
219,10.311,1.9080,0.2326,0
220,10.340,1.5160,0.1806,0
221,10.369,1.4540,0.1565,0
222,10.398,1.9320,0.2147,0
223,10.427,1.3500,0.1300,0
224,10.455,0.1740,-0.1403,0
225,10.485,1.3240,-0.1487,0
226,10.514,2.0540,-0.0400,0
227,10.544,1.9860,0.0968,0
228,10.574,1.6780,0.1466,0
229,10.604,1.6440,0.1164,0
230,10.633,1.9400,0.1791,0
231,10.662,2.3420,0.3491,0
232,10.690,1.6600,0.3066,0
233,10.720,1.3680,0.2053,0
234,10.749,1.6660,0.2115,0
235,10.781,1.8700,0.2445,0
236,10.811,1.7680,0.2388,0
237,10.841,1.6060,0.2223,0
238,10.871,1.3780,0.1587,0
239,10.901,1.5440,0.1207,0
240,10.930,1.8420,0.1623,0
241,10.960,1.8200,0.2062,0
242,10.988,1.3540,0.1330,0
243,11.017,1.6240,0.1198,0
244,11.050,1.6220,0.1201,0
245,11.081,1.8460,0.1706,0
246,11.111,1.8880,0.2060,0
247,11.142,1.5680,0.1767,0
248,11.172,1.4420,0.1346,0
249,11.201,1.5020,0.0964,0
250,11.231,1.6860,0.1042,0
251,11.260,0.4380,-0.1209,0
252,11.291,1.3280,-0.1378,0
253,11.320,1.6100,-0.1194,0
254,11.349,1.9800,0.0155,0
255,11.382,1.9760,0.1237,0
256,11.412,2.2300,0.2230,0
257,11.443,1.9860,0.2738,0
258,11.473,1.7560,0.2920,0
259,11.503,1.5260,0.2211,0
260,11.534,1.7000,0.1945,0
261,11.564,1.9320,0.2535,0
262,11.594,1.8160,0.2653,0
263,11.625,1.5320,0.1972,0
264,11.654,1.4060,0.1365,0
265,11.687,1.3740,0.0833,0
266,11.717,1.6220,0.0699,0
267,11.748,1.8400,0.1136,0
268,11.778,1.9420,0.1860,0
269,11.808,1.5400,0.1475,0
270,11.838,1.3620,0.0743,0
271,11.869,1.4440,0.0420,0
272,11.900,1.6440,0.0539,0
273,11.931,1.8240,0.0941,0
274,11.962,1.9760,0.1656,0
275,11.995,1.9640,0.2224,0
276,12.028,2.0060,0.2677,0
277,12.061,0.7360,0.0534,0
278,12.091,1.3420,0.0023,0
279,12.123,1.6380,-0.0012,0
280,12.153,1.6480,0.0253,0
281,12.184,1.8820,0.1019,0
282,12.215,2.1160,0.1801,0
283,12.246,2.2240,0.2774,0
284,12.277,1.9260,0.3175,0
285,12.309,1.9720,0.3318,0
286,12.340,1.4760,0.2336,0
287,12.371,1.3340,0.1547,0
288,12.402,1.5080,0.1095,0
289,12.433,1.7520,0.1052,0
290,12.464,1.8200,0.1449,0
291,12.495,1.8200,0.1785,0
292,12.526,1.6620,0.1465,0
293,12.557,1.4320,0.0879,0
294,12.587,1.3920,0.0460,0
295,12.620,1.4300,-0.0033,0
