sample_index,timestamp_seconds,raw_voltage,filtered_voltage,lead_off
0,1.972,1.9320,0.3787,0
1,2.473,1.6200,0.6176,0
2,2.636,0.1880,0.5331,0
3,2.677,1.8740,0.7779,0
4,2.737,1.7380,0.9326,0
5,3.173,1.7680,1.0899,0
6,3.351,1.4160,1.1256,0
7,3.693,2.0940,1.2574,0
8,3.719,1.4280,1.2527,0
9,3.797,1.5020,1.2691,0
10,3.847,1.6380,1.2657,0
11,3.877,1.9000,1.3230,0
12,3.945,1.8220,1.3770,0
13,3.972,1.7160,1.3638,0
14,4.000,1.4060,1.2756,0
15,4.031,1.5620,1.2656,0
16,4.059,1.7980,1.2877,0
17,4.087,1.4080,1.1997,0
18,4.115,1.4900,1.1680,0
19,4.142,1.9400,1.2308,0
20,4.168,1.4200,1.1475,0
21,4.196,1.7600,1.1580,0
22,4.223,1.6680,1.1568,0
23,4.251,0.0280,0.8110,0
24,4.290,1.8700,0.8916,0
25,4.347,1.8560,0.9620,0
26,4.405,2.1820,1.0891,0
27,4.452,1.9100,1.1116,0
28,4.487,1.8840,1.1220,0
29,4.515,1.5880,1.0828,0
30,4.542,1.8940,1.0954,0
31,4.570,1.4320,1.0017,0
32,4.598,1.4860,0.9531,0
33,4.625,1.8760,0.9814,0
34,4.653,1.4500,0.9038,0
35,4.682,1.4460,0.8540,0
36,4.711,1.8880,0.8974,0
37,4.738,1.6020,0.8584,0
38,4.765,1.4960,0.8152,0
39,4.793,1.9320,0.8669,0
40,4.820,1.5400,0.8142,0
41,4.847,1.6280,0.7939,0
42,4.874,1.7640,0.8068,0
43,4.902,1.3200,0.7177,0
44,4.929,1.7440,0.7284,0
45,4.958,1.9160,0.7736,0
46,4.986,1.4680,0.7178,0
47,5.013,1.7940,0.7298,0
48,5.040,1.6000,0.6990,0
49,5.067,0.0000,0.3652,0
50,5.095,1.5780,0.4012,0
51,5.122,1.9140,0.4847,0
52,5.148,1.7800,0.5503,0
53,5.176,2.2080,0.6770,0
54,5.203,1.7560,0.6618,0
55,5.233,1.8260,0.6833,0
56,5.260,2.4220,0.8198,0
57,5.288,2.1700,0.8513,0
58,5.315,1.7620,0.8051,0
59,5.343,1.9600,0.8159,0
60,5.371,1.5240,0.7140,0
61,5.399,1.4640,0.6222,0
62,5.427,1.8760,0.6441,0
63,5.454,1.5240,0.5782,0
64,5.482,1.4860,0.5110,0
65,5.511,1.8540,0.5402,0
66,5.539,1.7320,0.5359,0
67,5.567,1.4080,0.4589,0
68,5.594,1.8740,0.4921,0
69,5.621,1.5760,0.4617,0
70,5.647,1.6080,0.4388,0
71,5.675,1.9020,0.4729,0
72,5.702,1.2820,0.3828,0
73,5.730,1.5960,0.3727,0
74,5.756,1.6920,0.3714,0
75,5.785,1.3940,0.3191,0
76,5.813,1.7200,0.3458,0
77,5.840,1.8440,0.3767,0
78,5.867,1.2420,0.2873,0
79,5.894,0.3700,0.0535,0
80,5.921,1.3820,0.0509,0
81,5.948,1.7940,0.1276,0
82,5.975,2.1120,0.2762,0
83,6.003,1.6520,0.2911,0
84,6.030,1.8860,0.3295,0
85,6.061,2.1760,0.4330,0
86,6.088,2.0960,0.5056,0
87,6.116,1.9400,0.5094,0
88,6.144,2.0940,0.5435,0
89,6.171,1.6100,0.4902,0
90,6.199,1.4580,0.4036,0
91,6.226,1.8940,0.4069,0
92,6.254,1.4500,0.3410,0
93,6.280,1.6400,0.3275,0
